114791472538468,0.323,0.145,0.287,0.890
114791673985001,0.347,0.170,0.268,0.882
114791875401017,0.469,0.276,0.242,0.803
114792076817032,0.532,0.540,0.270,0.594
114792278202530,0.287,0.810,0.314,0.403
114792479649064,0.080,-0.804,-0.458,-0.371
114792681034562,0.214,-0.466,-0.643,-0.569
114792882450577,0.015,0.160,0.617,0.770
114793083866593,0.341,-0.135,0.318,0.874
114793285282609,0.597,-0.048,0.074,0.798
114793486698624,0.813,0.308,0.047,0.492
114793688114640,0.712,0.687,0.133,0.052
114793889561173,0.325,0.907,0.227,-0.144
114794090977189,0.033,-0.931,-0.363,0.006
114794292362687,0.233,-0.673,-0.583,-0.391
114794493809220,0.113,-0.278,-0.667,-0.682
114794695194718,0.173,-0.041,0.453,0.873
114794896641251,0.478,-0.131,0.133,0.858
114795098057267,0.702,0.126,0.041,0.700
114795299477312,0.802,0.487,0.073,0.339
114795500923845,0.542,0.819,0.189,-0.020
114795702309343,0.122,0.950,0.285,-0.038
114795903755876,0.163,-0.803,-0.553,-0.152
114796105141374,0.247,-0.400,-0.730,-0.496
114796306587908,0.032,-0.035,-0.615,-0.787
114796507973406,0.218,-0.212,0.271,0.913
114796709389421,0.453,-0.084,0.047,0.886
114796910835954,0.666,0.301,-0.051,0.681
114797112221452,0.742,0.589,-0.012,0.320
114797313667986,0.550,0.832,0.077,0.009
114797515053484,0.186,0.958,0.217,-0.026
114797716469499,0.159,-0.852,-0.485,-0.113
114797917916033,0.333,-0.543,-0.670,-0.382
114798119301531,0.157,-0.175,-0.722,-0.651
114798320748064,0.140,-0.078,0.417,0.895
114798522133562,0.442,-0.022,0.097,0.891
114798723549577,0.733,0.366,-0.005,0.574
114798924965593,0.741,0.643,0.131,0.145
114799126381609,0.393,0.881,0.253,-0.066
114799327797624,0.031,-0.913,-0.404,0.039
114799529213640,0.320,-0.660,-0.650,-0.200
114799730660173,0.329,-0.348,-0.718,-0.504
114799931984636,0.097,-0.206,-0.630,-0.742
114800133461687,0.085,0.066,0.369,0.923
114800334908220,0.118,-0.024,0.231,0.965
114800536324236,0.119,-0.040,0.172,0.977
114800737709734,0.119,-0.033,0.147,0.981
114800939156267,0.124,-0.027,0.140,0.982
114801140541765,0.130,-0.023,0.139,0.981
114801341957781,0.135,-0.019,0.135,0.981
114801543373796,0.143,-0.015,0.129,0.981
114801744789812,0.155,-0.017,0.126,0.980
114801946205827,0.166,-0.017,0.118,0.979
114802147652361,0.171,-0.014,0.114,0.979
114802349037859,0.174,-0.009,0.110,0.979
114802550453874,0.182,-0.003,0.109,0.977
114802751869890,0.190,0.002,0.108,0.976
